                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1049,                 9.0068,                 3.2118,                      0,                      0,                      0,                      0,                 5.2226,                 5.4016,                 2.8864,                    0.1,                      0,                      0
                      1,                  4.816,                 7.1709,                 3.4145,                      0,                      0,                      0,                      0,                 5.3196,                 5.4521,                   2.92,               0.099099,             9.9175e-05,             9.9175e-05
                      2,                 4.7776,                 7.4661,                 3.1902,                      0,                      0,                      0,                      0,                 5.3828,                 5.4882,                 2.9505,               0.098197,              0.0001967,              0.0001967
                      3,                 5.2192,                  8.112,                 3.2005,                      0,                      0,                      0,                      0,                 5.4341,                 5.5316,                 2.9728,               0.097293,             0.00029257,             0.00029257
                      4,                 4.6625,                 6.7739,                 3.0434,                      0,                      0,                      0,                      0,                 5.4679,                 5.5596,                 2.9871,               0.096387,              0.0003868,              0.0003868
                      5,                 4.7807,                 8.0768,                 2.9919,                      0,                      0,                      0,                      0,                 5.4878,                  5.592,                 2.9901,               0.095479,             0.00047937,             0.00047937
                      6,                 4.9928,                 8.9619,                  3.413,                      0,                      0,                      0,                      0,                 5.4971,                 5.6104,                 2.9939,                0.09457,              0.0005703,              0.0005703
                      7,                  4.893,                 7.5468,                 3.1601,                      0,                      0,                      0,                      0,                 5.4961,                 5.6198,                 2.9904,                0.09366,             0.00065958,             0.00065958
                      8,                 5.1154,                 8.3003,                 3.3706,                      0,                      0,                      0,                      0,                 5.4927,                 5.6347,                 2.9874,               0.092747,              0.0007472,              0.0007472
                      9,                 5.0445,                 8.1999,                  3.031,                      0,                      0,                      0,                      0,                 5.4864,                 5.6173,                 2.9838,               0.091833,             0.00083318,             0.00083318
                     10,                 5.0455,                 8.9506,                 3.5545,                      0,                      0,                      0,                      0,                  5.473,                 5.5931,                 2.9784,               0.090918,              0.0009175,              0.0009175
                     11,                 5.0368,                  8.394,                 3.0511,                      0,                      0,                      0,                      0,                 5.4673,                 5.5889,                 2.9696,                   0.09,              0.0010002,              0.0010002
                     12,                 4.6826,                 9.1154,                 2.7395,                      0,                      0,                      0,                      0,                 5.4403,                 5.5542,                 2.9545,               0.089081,              0.0010812,              0.0010812
                     13,                 4.9292,                  8.518,                 3.1216,                      0,                      0,                      0,                      0,                  5.435,                  5.562,                 2.9513,               0.088161,              0.0011606,              0.0011606
                     14,                 4.6773,                 8.1867,                 2.8816,                      0,                      0,                      0,                      0,                 5.4322,                 5.5642,                  2.945,               0.087238,              0.0012383,              0.0012383
                     15,                 5.0279,                 9.0904,                 3.0764,                      0,                      0,                      0,                      0,                 5.4141,                  5.542,                 2.9423,               0.086314,              0.0013144,              0.0013144
                     16,                 4.9675,                 8.1763,                 2.8367,                      0,                      0,                      0,                      0,                   5.45,                 5.5642,                 2.9633,               0.085389,              0.0013888,              0.0013888
                     17,                 4.3276,                 9.3267,                 2.6044,                      0,                      0,                      0,                      0,                   5.45,                 5.5642,                 2.9633,               0.084462,              0.0014616,              0.0014616
                     18,                 4.2084,                 9.2222,                  2.405,                      0,                      0,                      0,                      0,                 5.4201,                 5.5929,                  2.936,               0.083533,              0.0015327,              0.0015327
                     19,                 4.0568,                 6.6365,                 2.2645,                      0,                      0,                      0,                      0,                 5.4201,                 5.5929,                  2.936,               0.082602,              0.0016022,              0.0016022
                     20,                 3.4719,                 7.2104,                  1.978,                      0,                      0,                      0,                      0,                 5.4242,                 5.6656,                 2.9408,                0.08167,                0.00167,                0.00167
                     21,                 3.2405,                 6.1378,                 1.9176,                      0,                      0,                      0,                      0,                 5.4242,                 5.6656,                 2.9408,               0.080736,              0.0017362,              0.0017362
                     22,                 3.1637,                 7.3053,                 1.7839,                      0,                      0,                      0,                      0,                 5.4359,                 5.7762,                 2.9829,               0.079801,              0.0018007,              0.0018007
                     23,                 3.1027,                  6.566,                 1.6016,                      0,                      0,                      0,                      0,                 5.4359,                 5.7762,                 2.9829,               0.078864,              0.0018636,              0.0018636
                     24,                 2.8935,                 5.8596,                 1.5487,                      0,                      0,                      0,                      0,                 5.3353,                 5.8002,                 2.8923,               0.077925,              0.0019248,              0.0019248
                     25,                 2.2661,                 5.4128,                 1.3262,                      0,                      0,                      0,                      0,                 5.3353,                 5.8002,                 2.8923,               0.076984,              0.0019844,              0.0019844
                     26,                 2.7174,                 5.7172,                 1.4665,                      0,                      0,                      0,                      0,                 5.0968,                 5.7368,                 2.7591,               0.076042,              0.0020423,              0.0020423
                     27,                 2.6535,                  5.699,                 1.1986,                      0,                      0,                      0,                      0,                 5.0968,                 5.7368,                 2.7591,               0.075099,              0.0020986,              0.0020986
                     28,                  2.222,                 5.1474,                 1.2507,                      0,                      0,                      0,                      0,                 5.0154,                 5.7599,                 2.6933,               0.074153,              0.0021532,              0.0021532
                     29,                 2.0341,                 5.2994,                 1.1812,                      0,                      0,                      0,                      0,                 5.0154,                 5.7599,                 2.6933,               0.073206,              0.0022062,              0.0022062
                     30,                  2.158,                 4.8212,                 1.2367,                      0,                      0,                      0,                      0,                 4.9466,                 5.6611,                 2.6445,               0.072258,              0.0022575,              0.0022575
                     31,                 2.0807,                 4.9047,                 1.1636,                      0,                      0,                      0,                      0,                 4.9466,                 5.6611,                 2.6445,               0.071307,              0.0023072,              0.0023072
                     32,                 2.3488,                 5.2499,                 1.1756,                      0,                      0,                      0,                      0,                 3.5975,                 5.2548,                 2.0846,               0.070355,              0.0023552,              0.0023552
                     33,                 1.8564,                 4.8835,                 1.0685,                      0,                      0,                      0,                      0,                 3.5975,                 5.2548,                 2.0846,               0.069402,              0.0024016,              0.0024016
                     34,                 1.9484,                 4.9399,                 1.1288,                      0,                      0,                      0,                      0,                 3.0331,                 5.0344,                 1.9064,               0.068446,              0.0024463,              0.0024463
                     35,                 1.7901,                 4.8195,                 1.0807,                      0,                      0,                      0,                      0,                 3.0331,                 5.0344,                 1.9064,               0.067489,              0.0024894,              0.0024894
                     36,                 1.9036,                 5.1085,                 1.0368,                      0,                      0,                      0,                      0,                 3.2356,                 5.0932,                 1.9119,               0.066531,              0.0025308,              0.0025308
                     37,                  1.648,                 4.5572,                0.99227,                      0,                      0,                      0,                      0,                 3.2356,                 5.0932,                 1.9119,               0.065571,              0.0025706,              0.0025706
                     38,                 1.5757,                 4.6282,                 1.0643,                      0,                      0,                      0,                      0,                 3.1882,                 5.2063,                 1.8239,               0.064609,              0.0026087,              0.0026087
                     39,                  1.613,                 4.6857,                 1.0415,                      0,                      0,                      0,                      0,                 3.1882,                 5.2063,                 1.8239,               0.063645,              0.0026452,              0.0026452
                     40,                 1.5293,                 4.5469,                 1.0009,                      0,                      0,                      0,                      0,                 3.1649,                  5.109,                 1.6796,                0.06268,                0.00268,                0.00268
                     41,                 1.5044,                 4.5114,                 1.0189,                      0,                      0,                      0,                      0,                 3.1649,                  5.109,                 1.6796,               0.061713,              0.0027132,              0.0027132
                     42,                 1.5006,                 4.2491,                0.97888,                      0,                      0,                      0,                      0,                 2.9809,                 4.9868,                  1.564,               0.060745,              0.0027447,              0.0027447
                     43,                 1.6175,                 4.5041,                0.97055,                      0,                      0,                      0,                      0,                 2.9809,                 4.9868,                  1.564,               0.059775,              0.0027746,              0.0027746
                     44,                 1.6956,                 4.4768,                  1.008,                      0,                      0,                      0,                      0,                 2.7217,                 4.7531,                 1.5048,               0.058803,              0.0028028,              0.0028028
                     45,                 1.4976,                 4.3207,                0.95367,                      0,                      0,                      0,                      0,                 2.7217,                 4.7531,                 1.5048,               0.057829,              0.0028294,              0.0028294
                     46,                 1.7137,                 4.3512,                  1.035,                      0,                      0,                      0,                      0,                 2.1788,                 4.6249,                 1.4264,               0.056854,              0.0028543,              0.0028543
                     47,                 1.5036,                 4.2801,                0.97916,                      0,                      0,                      0,                      0,                 2.1788,                 4.6249,                 1.4264,               0.055878,              0.0028776,              0.0028776
                     48,                 1.4206,                 4.0179,                0.94817,                0.00305,                   0.25,                0.00229,                  0.001,                 1.8771,                 4.4455,                 1.1871,               0.054899,              0.0028992,              0.0028992
                     49,                 1.4844,                 3.9583,                0.98687,                0.00305,                   0.25,                0.00229,                  0.001,                 1.8771,                 4.4455,                 1.1871,               0.053919,              0.0029192,              0.0029192
                     50,                 1.3413,                  4.163,                0.95807,                0.00285,                   0.25,                0.00214,                0.00124,                 1.5796,                 4.3273,                 1.1092,               0.052938,              0.0029375,              0.0029375
                     51,                 1.3083,                 3.6558,                0.93572,                0.00285,                   0.25,                0.00214,                0.00124,                 1.5796,                 4.3273,                 1.1092,               0.051954,              0.0029542,              0.0029542
                     52,                 1.3426,                  3.578,                0.91403,                0.00285,                   0.25,                0.00214,                0.00124,                 1.5796,                 4.3273,                 1.1092,               0.050969,              0.0029692,              0.0029692
                     53,                 1.2499,                 3.6121,                0.90784,                0.00349,                0.29545,                 0.0025,                0.00158,                 1.4283,                  4.254,                 1.0677,               0.049983,              0.0029826,              0.0029826
                     54,                 1.3282,                 3.1685,                0.92861,                0.00349,                0.29545,                 0.0025,                0.00158,                 1.4283,                  4.254,                 1.0677,               0.048994,              0.0029943,              0.0029943
                     55,                 1.3366,                 3.7264,                0.94436,                0.00349,                0.29545,                 0.0025,                0.00158,                 1.4283,                  4.254,                 1.0677,               0.048004,              0.0030044,              0.0030044
                     56,                 1.1905,                 3.2014,                0.89836,                0.00471,                0.38636,                0.00334,                0.00207,                 1.4112,                 4.1951,                 1.0566,               0.047013,              0.0030128,              0.0030128
                     57,                 1.5346,                 2.6054,                0.98985,                0.00471,                0.38636,                0.00334,                0.00207,                 1.4112,                 4.1951,                 1.0566,                0.04602,              0.0030196,              0.0030196
                     58,                 1.5228,                 2.6076,                 1.0108,                0.00471,                0.38636,                0.00334,                0.00207,                 1.4112,                 4.1951,                 1.0566,               0.045025,              0.0030247,              0.0030247
                     59,                 1.6595,                 3.0621,                 1.0216,                0.00561,                0.47727,                0.00429,                0.00271,                 1.3556,                 4.1131,                 1.0334,               0.044028,              0.0030282,              0.0030282
                     60,                 1.1457,                 2.8825,                0.90217,                0.00561,                0.47727,                0.00429,                0.00271,                 1.3556,                 4.1131,                 1.0334,                0.04303,                0.00303,                0.00303
                     61,                 1.6397,                 2.7384,                 0.9689,                0.00561,                0.47727,                0.00429,                0.00271,                 1.3556,                 4.1131,                 1.0334,                0.04203,              0.0030302,              0.0030302
                     62,                 1.6002,                 2.4939,                 0.9589,                0.00524,                0.47727,                 0.1818,                0.11671,                 1.3516,                 4.0347,                 1.0162,               0.041029,              0.0030287,              0.0030287
                     63,                 1.4498,                 2.6818,                0.94793,                0.00524,                0.47727,                 0.1818,                0.11671,                 1.3516,                 4.0347,                 1.0162,               0.040026,              0.0030256,              0.0030256
                     64,                 1.3569,                  2.172,                0.91811,                0.00524,                0.47727,                 0.1818,                0.11671,                 1.3516,                 4.0347,                 1.0162,               0.039021,              0.0030208,              0.0030208
                     65,                 1.4138,                 2.8416,                0.99302,                 0.0059,                0.53977,                0.21376,                 0.1527,                 1.3256,                 3.9978,                 1.0127,               0.038014,              0.0030144,              0.0030144
                     66,                 1.4246,                 2.1527,                0.96854,                 0.0059,                0.53977,                0.21376,                 0.1527,                 1.3256,                 3.9978,                 1.0127,               0.037006,              0.0030063,              0.0030063
                     67,                 1.6305,                 2.5339,                0.95634,                 0.0059,                0.53977,                0.21376,                 0.1527,                 1.3256,                 3.9978,                 1.0127,               0.035997,              0.0029966,              0.0029966
                     68,                 1.3212,                 2.3655,                0.99373,                0.00734,                0.67614,                 0.2155,                0.13965,                 1.2663,                 3.9335,                0.99378,               0.034985,              0.0029852,              0.0029852
                     69,                 1.5034,                 2.3025,                0.92178,                0.00734,                0.67614,                 0.2155,                0.13965,                 1.2663,                 3.9335,                0.99378,               0.033972,              0.0029722,              0.0029722
                     70,                  1.634,                  2.153,                0.96979,                0.00734,                0.67614,                 0.2155,                0.13965,                 1.2663,                 3.9335,                0.99378,               0.032958,              0.0029575,              0.0029575
                     71,                 1.3751,                  2.167,                0.97109,                0.00696,                0.67614,                0.25067,                0.16071,                 1.2333,                 3.8149,                0.97274,               0.031941,              0.0029412,              0.0029412
                     72,                 1.8205,                 3.1395,                0.94486,                0.00696,                0.67614,                0.25067,                0.16071,                 1.2333,                 3.8149,                0.97274,               0.030923,              0.0029232,              0.0029232
                     73,                 1.5562,                 2.4627,                0.97042,                0.00696,                0.67614,                0.25067,                0.16071,                 1.2333,                 3.8149,                0.97274,               0.029904,              0.0029036,              0.0029036
                     74,                 1.1884,                  2.502,                0.93752,                0.00746,                0.80114,                 0.2803,                0.14128,                 1.2659,                 3.7694,                0.96967,               0.028882,              0.0028823,              0.0028823
                     75,                 1.7859,                 2.4446,                 1.0772,                0.00746,                0.80114,                 0.2803,                0.14128,                 1.2659,                 3.7694,                0.96967,               0.027859,              0.0028594,              0.0028594
                     76,                 1.4308,                 2.2926,                  1.031,                0.00746,                0.80114,                 0.2803,                0.14128,                 1.2659,                 3.7694,                0.96967,               0.026835,              0.0028348,              0.0028348
                     77,                 1.4125,                  2.126,                 1.0047,                0.00846,                 0.9375,                0.43765,                0.24501,                 1.4264,                  3.759,                 1.0021,               0.025809,              0.0028086,              0.0028086
                     78,                 1.4558,                 2.0849,                0.97145,                0.00846,                 0.9375,                0.43765,                0.24501,                 1.4264,                  3.759,                 1.0021,               0.024781,              0.0027807,              0.0027807
                     79,                 1.4502,                 2.1991,                0.90087,                0.00846,                 0.9375,                0.43765,                0.24501,                 1.4264,                  3.759,                 1.0021,               0.023751,              0.0027512,              0.0027512
                     80,                 1.5067,                 2.2664,                 0.9385,                0.00864,                      1,                0.37157,                0.18136,                  1.563,                 3.6644,                0.99129,                0.02272,                0.00272,                0.00272
                     81,                 1.4599,                 2.1269,                 1.0295,                0.00864,                      1,                0.37157,                0.18136,                  1.563,                 3.6644,                0.99129,               0.021687,              0.0026872,              0.0026872
                     82,                 1.4487,                 2.2762,                0.95528,                0.00864,                      1,                0.37157,                0.18136,                  1.563,                 3.6644,                0.99129,               0.020653,              0.0026527,              0.0026527
                     83,                 1.4802,                 1.8966,                 1.0168,                0.00842,                      1,                0.33259,                0.18161,                 1.6775,                  3.589,                 1.0134,               0.019617,              0.0026166,              0.0026166
                     84,                 1.5883,                 2.1107,                0.95258,                0.00842,                      1,                0.33259,                0.18161,                 1.6775,                  3.589,                 1.0134,               0.018579,              0.0025788,              0.0025788
