                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1274,                 1.2315,                0.87512,                0.90254,                0.93132,                0.97931,                0.83834,                0.84342,                0.84319,                 0.8468,                    0.1,                      0,                      0
                      1,                 1.1292,                 1.1518,                0.87293,                0.90208,                0.93163,                0.97931,                 0.8275,                0.84329,                0.84431,                0.84686,               0.099099,             9.8586e-05,             9.8586e-05
                      2,                0.87698,                0.98495,                0.89499,                0.90244,                0.93156,                0.97931,                0.82252,                0.84247,                0.83976,                0.84655,               0.098194,             0.00019434,             0.00019434
                      3,                0.92975,                 1.1202,                0.84348,                0.90204,                0.92803,                0.97515,                0.82414,                0.84031,                0.83714,                 0.8464,               0.097287,             0.00028727,             0.00028727
                      4,                0.80003,                0.96103,                0.82982,                0.90212,                0.92803,                0.97515,                0.82875,                0.84205,                0.84107,                0.84655,               0.096377,             0.00037737,             0.00037737
                      5,                0.93712,                 1.0232,                0.82607,                0.90148,                0.93092,                0.97931,                0.83493,                0.82408,                0.82997,                0.84177,               0.095465,             0.00046464,             0.00046464
                      6,                0.77469,                0.91222,                0.81655,                0.89751,                0.92979,                0.97931,                0.83267,                0.81122,                 0.8205,                0.83905,               0.094549,             0.00054909,             0.00054909
                      7,                 0.6548,                0.92404,                0.85919,                0.89967,                0.92974,                0.97931,                0.82514,                0.81231,                0.83786,                0.84195,               0.093631,              0.0006307,              0.0006307
                      8,                0.69024,                0.99946,                0.83377,                0.89341,                0.92996,                0.97192,                0.81542,                0.81696,                 0.8589,                 0.8402,               0.092709,             0.00070949,             0.00070949
                      9,                 0.7752,                0.96482,                0.83205,                 0.8863,                0.92803,                0.96721,                0.76262,                0.84521,                0.85676,                0.84506,               0.091785,             0.00078544,             0.00078544
                     10,                0.59506,                0.98944,                0.86882,                 0.8753,                0.92803,                0.96567,                0.79826,                0.84598,                0.83971,                0.84447,               0.090859,             0.00085857,             0.00085857
                     11,                0.59288,                0.86011,                0.81828,                0.86754,                0.91263,                0.95146,                0.81163,                0.81951,                 0.8599,                0.83912,               0.089929,             0.00092887,             0.00092887
                     12,                0.68158,                0.96961,                 0.8266,                0.87905,                0.90198,                0.96026,                0.83306,                0.84228,                0.83311,                0.84021,               0.088996,             0.00099634,             0.00099634
                     13,                0.70777,                0.89467,                0.82521,                 0.8864,                0.91421,                0.96858,                0.82777,                 0.7884,                0.81143,                0.83525,               0.088061,               0.001061,               0.001061
                     14,                0.66709,                0.86892,                 0.8073,                0.89779,                 0.9286,                0.97637,                0.83107,                0.79595,                0.78212,                0.83553,               0.087123,              0.0011228,              0.0011228
                     15,                0.55177,                0.81604,                0.84685,                0.90148,                0.92803,                0.97221,                0.82694,                0.80849,                0.81473,                0.83702,               0.086182,              0.0011818,              0.0011818
                     16,                0.62049,                0.89855,                0.83792,                0.90725,                0.92803,                0.96721,                0.81201,                0.85207,                0.83054,                0.83968,               0.085238,              0.0012379,              0.0012379
                     17,                  1.007,                 1.0658,                 0.8595,                0.90725,                0.92803,                0.96721,                0.81201,                0.85207,                0.83054,                0.83968,               0.084291,              0.0012913,              0.0012913
                     18,                0.62297,                0.92788,                0.84106,                0.89177,                0.93663,                 0.9733,                0.83988,                 0.7956,                0.82945,                0.83277,               0.083342,              0.0013418,              0.0013418
                     19,                  0.851,                 1.1359,                0.84184,                0.89177,                0.93663,                 0.9733,                0.83988,                 0.7956,                0.82945,                0.83277,               0.082389,              0.0013894,              0.0013894
